,CO2
42401,251.0
42422,194.0
42424,164.0
42472,126.0
42475,169.0
42478,255.0
42480,259.0
42531,134.0
42535,140.0
42545,139.0
42549,144.0
42604,169.0
42609,149.0
42611,153.0
42641,144.0
42642,144.0
42643,164.0
42644,164.0
42645,144.0
42646,144.0
42648,144.0
42672,164.0
42686,144.0
42702,99.0
42703,104.0
42704,99.0
42705,135.0
42710,114.0
42712,145.0
42713,170.0
42714,149.0
42715,171.0
42719,145.0
42720,137.0
42722,149.0
42723,148.0
42726,134.0
42727,139.0
42728,135.0
42733,104.0
42734,99.0
42735,134.0
42736,154.0
42742,104.0
42743,99.0
42744,155.0
42745,159.0
42746,175.0
42755,155.0
42756,162.0
42757,167.0
42758,179.0
42762,147.0
42763,159.0
42764,155.0
42765,149.0
42766,139.0
42776,155.0
42777,159.0
42784,159.0
42785,159.0
42786,179.0
42787,175.0
42796,159.0
42797,163.0
42798,159.0
42799,179.0
42800,175.0
42810,144.0
42811,144.0
42812,164.0
42820,145.0
42821,145.0
42822,165.0
42833,152.0
42849,155.0
42850,169.0
42858,155.0
42859,149.0
42860,168.0
42862,212.0
42863,194.0
42864,219.0
42865,203.0
42866,224.0
42867,205.0
42868,234.0
42869,215.0
42870,224.0
42871,205.0
42872,234.0
42873,215.0
42874,217.0
42875,198.0
42876,224.0
42877,205.0
42878,229.0
42879,210.0
42880,236.0
42881,217.0
42882,229.0
42883,210.0
42884,236.0
42885,217.0
42886,272.0
42887,268.0
42889,268.0
42891,275.0
42893,270.0
42895,270.0
42897,192.0
42898,180.0
42900,206.0
42901,188.0
42902,263.0
42903,236.0
42904,248.0
42905,245.0
42906,270.0
42907,270.0
42909,270.0
42913,192.0
42914,180.0
42915,206.0
42916,188.0
42917,265.0
42918,260.0
42919,218.0
42920,213.0
42921,230.0
42922,225.0
42923,225.0
42924,220.0
42925,237.0
42926,232.0
42927,293.0
42928,288.0
42929,247.0
42930,242.0
42931,261.0
42932,256.0
42933,254.0
42934,249.0
42935,268.0
42936,263.0
42937,270.0
42938,265.0
42939,286.0
42940,281.0
42943,270.0
42944,265.0
42945,286.0
42946,281.0
42947,256.0
42948,251.0
42951,212.0
42952,125.0
42953,113.0
42956,127.0
42957,120.0
42958,144.0
42959,105.0
42960,99.0
42964,127.0
42965,120.0
42966,105.0
42971,130.0
42972,130.0
42985,180.0
42989,190.0
43029,119.0
43031,124.0
43037,119.0
43039,124.0
43042,162.0
43043,174.0
43048,145.0
43049,152.0
43053,119.0
43055,124.0
43067,135.0
43072,145.0
43078,140.0
43079,145.0
43099,130.0
43100,130.0
43101,150.0
43102,105.0
43105,139.0
43109,180.0
43110,180.0
43127,327.0
43129,329.0
43131,349.0
43135,347.0
43137,347.0
43141,347.0
43155,178.0
43156,167.0
43157,178.0
43158,167.0
43161,132.0
43165,132.0
43168,169.0
43169,169.0
43176,172.0
43177,172.0
43185,124.0
43186,119.0
43187,113.0
43191,139.0
43192,125.0
43193,125.0
43194,139.0
43196,139.0
43199,124.0
43200,119.0
43201,113.0
43204,139.0
43205,128.0
43206,128.0
43207,132.0
43208,137.0
43210,112.0
43211,119.0
43212,119.0
43217,120.0
43220,119.0
43221,132.0
43222,137.0
43223,112.0
43224,119.0
43225,119.0
43230,120.0
43233,105.0
43234,95.0
43235,103.0
43236,108.0
43237,98.0
43238,105.0
43239,134.0
43243,119.0
43244,125.0
43245,118.0
43246,116.0
43247,137.0
43248,105.0
43249,95.0
43250,103.0
43251,108.0
43252,98.0
43253,105.0
43254,148.0
43264,121.0
43267,124.0
43268,124.0
43272,128.0
43278,121.0
43279,124.0
43280,124.0
43284,132.0
43285,147.0
43286,147.0
43287,147.0
43291,148.0
43292,148.0
43293,148.0
43311,134.0
43312,134.0
43315,180.0
43316,180.0
43317,180.0
43320,175.0
43321,175.0
43322,175.0
43325,155.0
43326,155.0
43327,155.0
43330,158.0
43331,158.0
43332,158.0
43354,147.0
43355,147.0
43356,147.0
43360,148.0
43361,148.0
43362,148.0
43385,134.0
43388,180.0
43389,180.0
43390,180.0
43393,175.0
43394,175.0
43395,175.0
43398,155.0
43399,155.0
43400,155.0
43403,158.0
43404,158.0
43405,158.0
43441,121.0
43442,132.0
43443,141.0
43444,114.0
43449,134.0
43452,119.0
43453,125.0
43454,137.0
43467,134.0
43472,134.0
43475,134.0
43490,157.0
43491,157.0
43501,168.0
43508,235.0
43534,159.0
43535,159.0
43544,170.0
43545,170.0
43549,237.0
43550,237.0
43580,154.0
43581,154.0
43585,149.0
43591,189.0
43614,97.0
43616,98.0
43618,114.0
43620,119.0
43624,115.0
43626,120.0
43630,119.0
43632,97.0
43634,98.0
43638,114.0
43639,114.0
43640,119.0
43644,115.0
43646,120.0
43650,119.0
43652,99.0
43654,100.0
43673,181.0
43674,164.0
43675,173.0
43676,174.0
43679,160.0
43684,243.0
43685,243.0
43692,232.0
43695,127.0
43696,151.0
43697,160.0
43700,118.0
43701,99.0
43704,162.0
43706,183.0
43708,109.0
43709,131.0
43710,128.0
43712,147.0
43714,125.0
43716,116.0
43721,147.0
43722,128.0
43724,116.0
43728,126.0
43740,128.0
43761,152.0
43762,152.0
43763,153.0
43764,104.0
43765,99.0
43766,99.0
43767,104.0
43768,99.0
43769,99.0
43770,164.0
43771,181.0
43772,99.0
43802,169.0
43803,167.0
43815,154.0
43823,127.0
43827,111.0
43828,110.0
43829,111.0
43840,123.0
43841,127.0
44029,158.0
44032,160.0
44034,158.0
44036,149.0
44037,149.0
44038,149.0
44039,158.0
44042,158.0
44045,158.0
44060,147.0
44061,149.0
44062,147.0
44063,156.0
44066,158.0
44069,156.0
44073,149.0
44074,147.0
44078,158.0
44081,156.0
44090,158.0
44092,149.0
44102,149.0
44107,158.0
44109,149.0
44110,158.0
44525,143.0
44526,153.0
44529,137.0
44530,137.0
44543,144.0
44544,174.0
44547,144.0
44551,129.0
44552,185.0
44555,147.0
44556,149.0
44558,139.0
44559,180.0
44560,177.0
44561,190.0
44564,148.0
44565,150.0
44566,139.0
44567,146.0
44572,132.0
44575,146.0
44576,152.0
44580,136.0
44583,114.0
44584,113.0
44587,110.0
44591,115.0
44594,134.0
44643,148.0
44644,145.0
44654,148.0
44655,149.0
44667,213.0
44673,144.0
44674,152.0
44675,290.0
44678,265.0
44683,124.0
44684,124.0
44687,134.0
44688,139.0
44689,128.0
44690,128.0
44691,139.0
44692,147.0
44693,154.0
44694,149.0
44695,174.0
44696,172.0
44697,187.0
44698,189.0
44709,167.0
44710,178.0
44711,152.0
44718,236.0
44730,149.0
44736,154.0
44737,159.0
44738,105.0
44739,96.0
44740,103.0
44741,108.0
44742,98.0
44743,105.0
44746,135.0
44747,159.0
44748,189.0
44749,149.0
44750,159.0
44758,231.0
44759,189.0
44763,231.0
44766,189.0
44767,152.0
44768,165.0
44774,231.0
44775,124.0
44776,174.0
44777,124.0
44778,129.0
44779,143.0
44784,185.0
44793,187.0
44794,129.0
44795,143.0
44800,182.0
44801,194.0
44806,139.0
44807,167.0
44808,192.0
44809,153.0
44810,167.0
44819,237.0
44823,195.0
44824,157.0
44825,168.0
44832,237.0
44835,198.0
44842,249.0
44849,248.0
