,CO2
8033,187.0
8034,189.0
8043,166.0
8044,169.0
8063,191.0
8069,189.0
8071,190.0
8085,152.0
8086,155.0
8087,162.0
8099,170.0
8100,173.0
8433,295.0
8435,295.0
8436,295.0
8437,295.0
8459,192.0
8461,199.0
8463,209.0
8489,159.0
8491,162.0
8493,164.0
8495,165.0
8497,169.0
8509,143.0
8510,145.0
8512,146.0
8513,147.0
8519,145.0
8520,147.0
8521,149.0
8522,156.0
8527,149.0
8528,143.0
8530,151.0
8531,145.0
8533,152.0
8536,159.0
8537,146.0
8539,147.0
8551,145.0
8552,147.0
8553,149.0
8554,156.0
8571,159.0
8572,161.0
8573,162.0
8574,168.0
8591,149.0
8593,151.0
8595,152.0
8597,159.0
8617,159.0
8619,162.0
8621,164.0
8623,165.0
8625,169.0
8645,179.0
8647,181.0
8649,182.0
8651,183.0
8653,185.0
8689,158.0
8693,165.0
8697,170.0
8769,158.0
8773,165.0
8777,170.0
8834,179.0
8837,189.0
8840,194.0
8958,199.0
8959,206.0
8974,208.0
8976,201.0
9016,223.0
9022,223.0
9040,223.0
9100,149.0
9101,146.0
9102,150.0
9103,151.0
9108,149.0
9109,146.0
9110,150.0
9111,151.0
9124,193.0
9125,195.0
9128,164.0
9130,166.0
9132,168.0
9150,193.0
9151,195.0
9158,164.0
9160,166.0
9162,168.0
9202,146.0
9203,151.0
9204,153.0
9205,155.0
9218,148.0
9219,154.0
9220,156.0
9221,158.0
9486,124.0
9490,129.0
9502,128.0
9508,132.0
9561,207.0
9562,207.0
9563,207.0
9564,208.0
9565,210.0
9566,213.0
9567,216.0
9568,219.0
9569,222.0
9570,208.0
9571,211.0
9572,213.0
9573,211.0
9574,213.0
9575,216.0
9576,216.0
9577,219.0
9578,222.0
9579,207.0
9582,208.0
9585,216.0
9588,208.0
9591,211.0
9594,216.0
9600,207.0
9604,213.0
9608,222.0
9612,213.0
9616,216.0
9620,222.0
9777,210.0
9782,215.0
9787,224.0
9792,216.0
9797,218.0
9802,224.0
9833,208.0
9834,210.0
9835,213.0
9836,216.0
9837,219.0
9838,222.0
9839,208.0
9840,211.0
9841,213.0
9842,211.0
9843,213.0
9844,216.0
9845,208.0
9848,216.0
9851,208.0
9854,211.0
9860,213.0
9864,222.0
9868,213.0
9872,216.0
9989,215.0
9994,224.0
9999,216.0
10004,218.0
10026,207.0
10029,208.0
10032,216.0
10035,208.0
10038,211.0
10041,216.0
10044,207.0
10047,208.0
10050,216.0
10053,208.0
10056,211.0
10059,216.0
10298,208.0
10301,216.0
10304,208.0
10307,211.0
10310,208.0
10313,216.0
10316,208.0
10319,211.0
10490,230.0
10492,240.0
10498,232.0
10499,235.0
10500,227.0
10512,232.0
10513,232.0
10527,232.0
10576,227.0
10578,230.0
10582,210.0
10584,227.0
10585,229.0
10590,232.0
10592,235.0
10602,227.0
10603,227.0
10609,232.0
10611,232.0
10623,227.0
10629,232.0
10698,232.0
10712,232.0
10727,232.0
10784,227.0
10790,232.0
10802,227.0
10809,232.0
10823,227.0
10829,232.0
10898,229.0
10899,232.0
