,puiss_max,masse_ordma_min,Marque,Carrosserie,boite,gamme2
2084,146.0,1727,12,7,0,5
2089,110.0,1496,12,7,1,3
2091,134.0,1496,12,7,1,3
2093,92.0,1493,12,7,1,3
2095,74.0,1493,12,7,1,3
2115,51.0,940,12,0,1,1
2117,110.0,1580,12,9,1,3
2118,134.0,1682,12,9,0,3
2124,118.0,1498,12,0,1,4
2126,118.0,1501,12,1,1,4
2136,176.0,1569,12,0,0,4
2138,176.0,1588,12,1,0,4
2151,118.0,1602,12,7,1,5
2155,146.0,1676,12,7,0,5
2156,176.0,1676,12,7,0,5
2290,148.0,1586,13,0,0,4
2298,148.0,1639,13,1,0,4
2306,73.0,1256,13,0,1,3
2307,73.0,1256,13,0,1,3
2308,73.0,1256,13,0,1,3
2309,104.0,1280,13,0,1,3
2310,104.0,1341,13,0,1,3
2311,104.0,1313,13,0,0,3
2312,104.0,1313,13,0,0,3
2315,110.0,1605,13,9,0,4
2316,114.0,1527,13,9,1,4
2317,114.0,1613,13,9,0,4
2318,114.0,1613,13,9,0,4
2330,73.0,1123,13,6,1,1
2331,73.0,1123,13,6,1,1
2332,66.0,1119,13,6,1,1
2341,255.0,1646,14,4,0,5
2342,50.8,980,14,0,1,0
2343,62.5,1015,14,0,0,0
2344,62.5,985,14,0,1,0
2345,73.6,1131,14,0,0,1
2349,62.5,1045,14,0,1,1
2352,73.2,1260,14,0,1,3
2359,73.2,1260,14,0,1,3
2368,99.0,1447,14,0,1,4
2373,99.0,1470,14,1,1,4
2378,66.2,1253,14,6,1,1
2379,91.5,1269,14,6,0,1
2383,99.0,1380,14,9,1,4
2390,103.0,1295,14,4,0,3
2391,103.0,1260,14,4,1,3
2392,137.0,1330,14,4,1,3
2394,235.0,1876,15,9,0,5
2395,235.0,1873,15,9,0,5
2396,235.0,1835,15,9,1,5
2397,235.0,2012,15,9,0,2
2398,287.0,2120,15,9,0,2
2403,235.0,1719,15,4,0,4
2404,235.0,1709,15,4,1,4
2405,235.0,1755,15,4,0,4
2406,235.0,1745,15,4,1,4
2407,235.0,1822,15,4,0,4
2408,235.0,1718,15,4,0,4
2409,235.0,1706,15,4,1,4
2410,235.0,1765,15,4,0,4
2411,235.0,1753,15,4,1,4
2412,235.0,1911,15,4,0,4
2413,235.0,1888,15,2,1,4
2414,235.0,1715,15,0,0,2
2415,235.0,1795,15,0,0,2
2419,250.0,1667,16,4,0,2
2420,250.0,1667,16,4,0,2
2421,280.0,1667,16,4,0,2
2422,364.0,1735,16,4,0,2
2423,375.0,1945,16,0,0,5
2425,405.0,1945,16,0,0,5
2426,405.0,1945,16,0,0,5
2433,177.0,1730,16,0,0,5
2434,250.0,1840,16,0,0,5
2435,250.0,1948,16,0,0,5
2442,375.0,1949,16,0,0,2
2443,375.0,1939,16,0,0,2
2450,250.0,1824,16,0,0,2
2451,250.0,1834,16,0,0,2
2452,250.0,1940,16,0,0,2
2453,250.0,1953,16,0,0,2
2454,375.0,1839,16,2,0,2
2456,405.0,1839,16,2,0,2
2457,375.0,1824,16,4,0,2
2459,405.0,1824,16,4,0,2
2460,283.0,1734,16,2,0,2
2461,283.0,1719,16,4,0,2
2462,276.0,2564,17,9,0,5
2474,177.0,1815,17,9,0,4
2475,375.0,2397,17,9,0,2
2477,375.0,2437,17,9,0,2
2501,177.0,1690,17,9,0,2
2508,177.0,1720,17,9,0,2
2509,375.0,2402,17,9,0,2
