"Marque;Carburant;puiss_max;masse_ordma_min;Carrosserie;boite;gamme2;CO2;Cat_CO2"
"AUDI;GO;180.0;1930;TS TERRAINS/CHEMINS;A;LUXE;165.0;E"
"AUDI;GO;230.0;1985;TS TERRAINS/CHEMINS;A;LUXE;176.0;E"
"AUDI;ES;228.0;1930;TS TERRAINS/CHEMINS;A;LUXE;206.0;F"
"AUDI;GO;180.0;1955;TS TERRAINS/CHEMINS;A;LUXE;165.0;E"
"AUDI;GO;150.0;1930;TS TERRAINS/CHEMINS;A;LUXE;159.0;D"
"AUDI;ES;132.0;1615;BERLINE;M;LUXE;151.0;D"
"AUDI;GO;180.0;1795;BERLINE;A;LUXE;156.0;D"
"AUDI;ES;309.0;1970;BERLINE;A;LUXE;225.0;F"
"AUDI;GO;130.0;1650;BERLINE;M;LUXE;129.0;C"
"AUDI;GO;100.0;1650;BERLINE;M;LUXE;129.0;C"
"AUDI;GO;230.0;1865;BERLINE;A;LUXE;166.0;E"
"AUDI;ES;228.0;1815;BERLINE;A;LUXE;190.0;E"
"AUDI;ES;150.0;1645;BERLINE;M;LUXE;177.0;E"
"AUDI;ES;150.0;1850;BERLINE;A;LUXE;187.0;E"
"AUDI;GO;180.0;1835;BERLINE;A;LUXE;156.0;D"
"AUDI;GO;150.0;1795;BERLINE;A;LUXE;149.0;D"
"AUDI;GO;150.0;1700;BERLINE;M;LUXE;139.0;C"
"AUDI;GO;180.0;1860;BERLINE;A;LUXE;156.0;D"
"AUDI;ES;309.0;2020;COUPE;A;LUXE;225.0;F"
"AUDI;GO;230.0;1925;BERLINE;A;LUXE;166.0;E"
"AUDI;ES;220.0;1860;BERLINE;A;LUXE;190.0;E"
"AUDI;ES;228.0;1860;BERLINE;A;LUXE;190.0;E"
"AUDI;ES;150.0;1865;BERLINE;A;LUXE;187.0;E"
"AUDI;GO;180.0;1895;BERLINE;A;LUXE;156.0;D"
"AUDI;GO;150.0;1860;BERLINE;A;LUXE;152.0;D"
"AUDI;ES;412.0;1995;BERLINE;A;LUXE;229.0;F"
"AUDI;GO;258.0;2120;BERLINE;A;LUXE;198.0;E"
"AUDI;GO;184.0;1965;BERLINE;A;LUXE;171.0;E"
"AUDI;ES;368.0;2130;BERLINE;A;LUXE;277.0;G"
"AUDI;ES;309.0;2020;BERLINE;A;LUXE;221.0;F"
"AUDI;ES;213.0;1955;BERLINE;A;LUXE;205.0;F"
"AUDI;GO;150.0;1920;BERLINE;A;LUXE;158.0;D"
"AUDI;GO;184.0;2005;BERLINE;A;LUXE;171.0;E"
"AUDI;GO;258.0;2070;BERLINE;A;LUXE;195.0;E"
"AUDI;GO;184.0;1915;BERLINE;A;LUXE;169.0;E"
"AUDI;ES;309.0;1970;BERLINE;A;LUXE;219.0;F"
"AUDI;ES;382.0;2050;BERLINE;A;LUXE;235.0;F"
"AUDI;ES;213.0;1905;BERLINE;A;LUXE;204.0;F"
"AUDI;GO;150.0;1870;BERLINE;A;LUXE;158.0;D"
"AUDI;GO;184.0;1955;BERLINE;A;LUXE;169.0;E"
"AUDI;ES;125.0;1630;TS TERRAINS/CHEMINS;A;SUPERIEURE;179.0;E"
"AUDI;GO;103.0;1520;TS TERRAINS/CHEMINS;M;SUPERIEURE;137.0;C"
"AUDI;GO;103.0;1645;TS TERRAINS/CHEMINS;A;SUPERIEURE;152.0;D"
"AUDI;GO;103.0;1610;TS TERRAINS/CHEMINS;M;SUPERIEURE;149.0;D"
"AUDI;GO;130.0;1565;TS TERRAINS/CHEMINS;M;SUPERIEURE;144.0;D"
"AUDI;GO;130.0;1660;TS TERRAINS/CHEMINS;A;SUPERIEURE;156.0;D"
"AUDI;GO;130.0;1650;TS TERRAINS/CHEMINS;M;SUPERIEURE;148.0;D"
"AUDI;ES;155.0;1640;TS TERRAINS/CHEMINS;A;SUPERIEURE;179.0;E"
"AUDI;GO;180.0;1935;TS TERRAINS/CHEMINS;A;SUPERIEURE;169.0;E"
"AUDI;GO;130.0;1895;TS TERRAINS/CHEMINS;A;SUPERIEURE;169.0;E"
"AUDI;GO;130.0;1830;TS TERRAINS/CHEMINS;M;SUPERIEURE;154.0;D"
"AUDI;GO;230.0;1995;TS TERRAINS/CHEMINS;A;SUPERIEURE;179.0;E"
"AUDI;GO;110.0;1755;TS TERRAINS/CHEMINS;M;SUPERIEURE;139.0;C"
"AUDI;GO;110.0;1830;TS TERRAINS/CHEMINS;M;SUPERIEURE;154.0;D"
"AUDI;ES;132.0;1795;TS TERRAINS/CHEMINS;M;SUPERIEURE;174.0;E"
"AUDI;ES;165.0;1830;TS TERRAINS/CHEMINS;A;SUPERIEURE;184.0;E"
"AUDI;ES;165.0;1795;TS TERRAINS/CHEMINS;M;SUPERIEURE;174.0;E"
"AUDI;GO;250.0;2515;TS TERRAINS/CHEMINS;A;LUXE;242.0;F"
"AUDI;GO;150.0;2375;TS TERRAINS/CHEMINS;A;LUXE;189.0;E"
"AUDI;ES;245.0;2345;TS TERRAINS/CHEMINS;A;LUXE;249.0;F"
"AUDI;ES;200.0;2325;TS TERRAINS/CHEMINS;A;LUXE;249.0;F"
"AUDI;GO;180.0;2375;TS TERRAINS/CHEMINS;A;LUXE;195.0;E"
"AUDI;ES;316.0;1660;COUPE;A;LUXE;289.0;G"
"AUDI;ES;316.0;1635;COUPE;M;LUXE;332.0;G"
"AUDI;ES;404.0;1670;COUPE;A;LUXE;299.0;G"
"AUDI;ES;404.0;1645;COUPE;M;LUXE;346.0;G"
"AUDI;ES;386.0;1720;COUPE;A;LUXE;305.0;G"
"AUDI;ES;386.0;1695;COUPE;M;LUXE;346.0;G"
"AUDI;ES;316.0;1760;COUPE;A;LUXE;294.0;G"
"AUDI;ES;316.0;1735;COUPE;M;LUXE;337.0;G"
