,puiss_max,masse_ordma_min,Marque,Carburant,Carrosserie,boite,gamme2
738,200.0,1820,4,0,1,0,2
739,200.0,1820,4,0,1,0,2
740,200.0,1820,4,0,1,0,2
741,200.0,1800,4,0,1,1,2
742,200.0,1800,4,0,1,1,2
743,200.0,1800,4,0,1,1,2
744,190.0,1870,4,1,1,0,2
745,190.0,1870,4,1,1,0,2
746,190.0,1870,4,1,1,0,2
747,190.0,1860,4,1,1,1,2
748,190.0,1860,4,1,1,1,2
749,190.0,1860,4,1,1,1,2
750,190.0,1865,4,1,0,0,2
751,190.0,1865,4,1,0,0,2
752,190.0,1865,4,1,0,0,2
753,190.0,1770,4,1,0,0,2
754,190.0,1770,4,1,0,0,2
755,190.0,1770,4,1,0,0,2
756,190.0,1760,4,1,0,1,2
757,190.0,1760,4,1,0,1,2
758,190.0,1760,4,1,0,1,2
759,200.0,1730,4,0,0,0,2
760,200.0,1730,4,0,0,0,2
761,200.0,1730,4,0,0,0,2
762,200.0,1710,4,0,0,1,2
763,200.0,1710,4,0,0,1,2
764,200.0,1710,4,0,0,1,2
765,180.0,2035,4,1,0,0,2
766,180.0,2090,4,1,0,0,2
767,190.0,2085,4,1,0,0,2
768,190.0,2015,4,1,0,0,2
769,225.0,1845,4,0,1,0,2
770,225.0,1845,4,0,1,0,2
771,225.0,1845,4,0,1,0,2
772,225.0,1840,4,0,1,1,2
773,225.0,1840,4,0,1,1,2
774,225.0,1840,4,0,1,1,2
775,225.0,1915,4,0,0,0,2
776,225.0,1915,4,0,0,0,2
777,225.0,1915,4,0,0,0,2
778,230.0,1970,4,1,1,0,2
779,230.0,1970,4,1,1,0,2
780,230.0,1970,4,1,1,0,2
781,230.0,1900,4,1,1,0,2
782,230.0,1900,4,1,1,0,2
783,230.0,1900,4,1,1,0,2
784,225.0,1775,4,0,0,0,2
785,225.0,1775,4,0,0,0,2
786,225.0,1775,4,0,0,0,2
787,225.0,1760,4,0,0,1,2
788,225.0,1760,4,0,0,1,2
789,225.0,1760,4,0,0,1,2
790,225.0,1840,4,0,0,0,2
791,225.0,1840,4,0,0,0,2
792,225.0,1840,4,0,0,0,2
793,230.0,1800,4,1,0,0,2
794,230.0,1800,4,1,0,0,2
795,230.0,1800,4,1,0,0,2
796,230.0,1870,4,1,0,0,2
797,230.0,1870,4,1,0,0,2
798,230.0,1870,4,1,0,0,2
799,225.0,2015,4,0,0,0,2
800,220.0,2045,4,1,0,0,2
801,225.0,2070,4,0,0,0,2
802,220.0,2110,4,1,0,0,2
803,230.0,2115,4,1,0,0,2
804,230.0,2045,4,1,0,0,2
805,300.0,1975,4,0,1,0,2
806,300.0,1975,4,0,1,0,2
807,280.0,2065,4,1,1,0,2
808,300.0,1905,4,0,0,0,2
809,300.0,1905,4,0,0,0,2
810,300.0,1975,4,0,0,0,2
811,300.0,1975,4,0,0,0,2
812,280.0,1970,4,1,1,0,2
813,330.0,2145,4,0,0,0,2
814,300.0,2135,4,0,0,0,2
815,330.0,2215,4,0,0,0,2
816,300.0,2205,4,0,0,0,2
817,230.0,1945,4,1,4,0,2
818,230.0,1945,4,1,4,0,2
819,230.0,1945,4,1,4,0,2
820,235.0,1900,4,0,4,0,2
822,235.0,1900,4,0,4,0,2
823,235.0,1735,4,0,4,0,2
824,235.0,1735,4,0,4,0,2
825,235.0,1735,4,0,4,0,2
826,235.0,1915,4,0,2,0,2
827,235.0,1915,4,0,2,0,2
828,235.0,1915,4,0,2,0,2
829,230.0,1790,4,1,4,0,2
830,230.0,1790,4,1,4,0,2
831,230.0,1790,4,1,4,0,2
832,235.0,1840,4,0,4,0,2
834,235.0,1840,4,0,4,0,2
835,230.0,1935,4,1,2,0,2
836,230.0,1935,4,1,2,0,2
837,230.0,1935,4,1,2,0,2
838,230.0,1870,4,1,4,0,2
839,230.0,1870,4,1,4,0,2
840,230.0,1870,4,1,4,0,2
841,230.0,2005,4,1,2,0,2
842,230.0,2005,4,1,2,0,2
843,230.0,2005,4,1,2,0,2
844,235.0,1985,4,0,2,0,2
846,235.0,1985,4,0,2,0,2
847,330.0,1940,4,0,4,0,2
848,330.0,1940,4,0,4,0,2
849,330.0,2015,4,0,4,0,2
850,330.0,2015,4,0,4,0,2
851,300.0,1845,4,0,4,0,2
852,300.0,1845,4,0,4,0,2
853,300.0,1920,4,0,4,0,2
854,300.0,1920,4,0,4,0,2
855,300.0,2015,4,0,2,0,2
856,300.0,2015,4,0,2,0,2
857,300.0,2055,4,0,2,0,2
858,300.0,2055,4,0,2,0,2
859,330.0,1930,4,0,4,0,2
860,330.0,1930,4,0,4,0,2
861,330.0,1870,4,0,4,0,2
862,330.0,1870,4,0,4,0,2
863,330.0,2055,4,0,2,0,2
864,330.0,2055,4,0,2,0,2
