,puiss_max,masse_ordma_min,Marque,Carrosserie,boite,gamme2
1183,82.0,1495,7,8,0,3
1184,82.0,1505,7,8,0,3
1185,82.0,1495,7,8,0,3
1186,82.0,1505,7,8,0,3
1187,150.0,1735,7,0,0,4
1191,84.0,1600,7,0,0,4
1192,84.0,1581,7,0,1,4
1193,103.0,1610,7,0,1,4
1194,120.0,1615,7,0,1,4
1195,120.0,1684,7,0,0,4
1196,177.0,1841,7,0,0,4
1197,150.0,1842,7,1,0,4
1201,84.0,1615,7,1,0,4
1202,84.0,1613,7,1,1,4
1203,103.0,1730,7,1,1,4
1204,120.0,1670,7,1,1,4
1205,120.0,1717,7,1,0,4
1206,177.0,1838,7,1,0,4
1207,100.0,1845,7,7,1,5
1208,120.0,1845,7,7,1,5
1209,120.0,1975,7,7,0,5
1220,84.0,1165,7,0,1,3
1221,84.0,1165,7,0,1,3
1222,84.0,1165,7,0,1,3
1223,84.0,1165,7,0,1,3
1224,68.0,1165,7,0,0,3
1225,68.0,1165,7,0,0,3
1226,68.0,1160,7,0,1,3
1227,68.0,1160,7,0,1,3
1228,68.0,1160,7,0,1,3
1235,68.0,1165,7,2,0,3
1241,84.0,1365,7,0,1,3
1242,84.0,1375,7,0,0,3
1243,84.0,1370,7,0,1,3
1244,84.0,1375,7,0,0,3
1245,84.0,1370,7,0,1,3
1246,120.0,1395,7,0,1,3
1247,120.0,1505,7,0,0,3
1251,84.0,1495,7,0,0,4
1254,120.0,1605,7,0,1,4
1255,120.0,1605,7,0,1,4
1257,120.0,1615,7,0,0,4
1258,120.0,1615,7,0,0,4
1259,81.0,2010,7,5,1,3
1260,96.0,2025,7,5,1,3
1261,110.0,2025,7,5,1,3
1262,96.0,2135,7,5,1,3
1263,110.0,2135,7,5,1,3
1264,72.0,1976,7,5,1,3
1265,94.0,1976,7,5,1,3
1266,120.0,1984,7,5,1,3
1267,120.0,1980,7,5,0,3
1268,72.0,1986,7,5,1,3
1269,94.0,1986,7,5,1,3
1270,120.0,2017,7,5,1,3
1271,120.0,1997,7,5,0,3
1272,72.0,2001,7,5,1,3
1273,94.0,2001,7,5,1,3
1274,120.0,2032,7,5,1,3
1275,120.0,2070,7,5,1,3
1276,72.0,2070,7,5,1,3
1277,94.0,2070,7,5,1,3
1278,120.0,2075,7,5,1,3
1279,55.0,1260,7,3,1,1
1280,55.0,1275,7,3,1,1
1281,55.0,1275,7,3,1,1
1286,55.0,1280,8,3,1,1
1287,66.0,1280,8,3,1,1
1296,66.0,1363,8,9,1,1
1297,79.0,1280,8,9,1,1
1298,81.0,1369,8,9,1,1
1299,66.0,1265,8,9,1,1
1302,79.0,1280,8,8,1,3
1305,79.0,1337,8,8,1,3
1306,66.0,1280,8,8,1,3
1307,66.0,1313,8,8,1,3
1308,55.0,1134,8,1,1,1
1311,66.0,1134,8,1,1,1
1312,55.0,1108,8,0,1,1
1316,66.0,1108,8,0,1,1
1317,66.0,1158,8,0,1,1
1326,84.0,1591,9,3,1,1
1327,84.0,1501,9,3,1,1
1328,55.0,1485,9,3,1,1
1329,68.0,1575,9,3,1,1
1330,68.0,1575,9,3,1,1
1332,68.0,1485,9,3,1,1
1333,68.0,1485,9,3,1,1
1334,55.0,1280,9,3,1,1
1336,96.0,2515,9,5,1,3
1337,96.0,2515,9,5,1,3
1338,96.0,2615,9,5,1,3
1339,96.0,2275,9,5,1,3
1340,109.0,2515,9,5,1,3
1341,109.0,2615,9,5,1,3
1342,109.0,2275,9,5,1,3
1343,96.0,2680,9,5,1,3
1344,109.0,2680,9,5,1,3
1345,94.0,2111,9,5,1,3
1346,94.0,2121,9,5,1,3
1347,94.0,2136,9,5,1,3
1348,96.0,2275,9,5,1,3
1349,110.0,2515,9,5,1,3
1363,94.0,2063,9,5,1,3
1365,94.0,2070,9,5,1,3
1421,55.0,1055,11,0,1,0
1438,70.0,1055,11,0,1,0
1459,55.0,1095,11,0,1,0
1472,70.0,1095,11,0,1,0
1480,62.0,1395,11,6,1,0
1482,62.0,1385,11,6,1,0
1484,62.0,1375,11,6,1,0
1485,62.0,1390,11,6,1,0
1489,62.0,1380,11,6,1,0
1491,62.0,1370,11,6,1,0
1508,77.0,1440,11,6,1,0
1510,77.0,1450,11,6,1,0
1532,77.0,1395,11,0,1,3
1536,77.0,1395,11,0,1,3
1537,88.0,1395,11,0,1,3
1541,88.0,1395,11,0,1,3
1545,88.0,1395,11,0,1,3
1546,88.0,1395,11,0,1,3
1547,121.0,1435,11,0,1,3
1553,121.0,1435,11,0,1,3
1555,120.0,1435,11,0,1,3
1564,77.0,1485,11,3,1,1
1565,77.0,1505,11,3,1,1
1568,77.0,1505,11,3,1,1
1569,77.0,1575,11,3,1,1
1570,77.0,1575,11,3,1,1
1571,99.0,1525,11,3,1,1
1572,99.0,1555,11,3,1,1
1575,99.0,1555,11,3,1,1
1576,99.0,1615,11,3,1,1
1577,99.0,1615,11,3,1,1
1628,66.0,1485,11,3,0,1
1629,66.0,1505,11,3,0,1
1630,66.0,1505,11,3,0,1
1631,66.0,1485,11,3,1,1
1632,66.0,1505,11,3,1,1
1633,66.0,1505,11,3,1,1
1636,66.0,1505,11,3,1,1
1637,66.0,1575,11,3,1,1
1638,66.0,1575,11,3,1,1
1644,66.0,1505,11,3,0,1
1645,66.0,1575,11,3,0,1
1646,66.0,1575,11,3,0,1
1647,96.0,2290,11,5,0,3
1649,96.0,2025,11,5,0,3
1651,96.0,2290,11,5,1,3
1653,96.0,2290,11,5,1,3
1659,96.0,2025,11,5,1,3
1661,96.0,2025,11,5,1,3
1666,109.0,2290,11,5,0,3
1668,109.0,2025,11,5,0,3
1670,109.0,2290,11,5,1,3
1672,109.0,2290,11,5,1,3
1676,109.0,2025,11,5,1,3
1678,109.0,2025,11,5,1,3
1682,130.0,2340,11,5,0,3
1684,130.0,2075,11,5,0,3
1686,130.0,2340,11,5,1,3
1688,130.0,2075,11,5,1,3
1690,85.0,2275,11,5,1,3
1692,85.0,2010,11,5,1,3
1696,96.0,2375,11,5,0,3
1698,96.0,2475,11,5,0,3
1699,96.0,2450,11,5,0,3
1700,96.0,2135,11,5,0,3
1702,96.0,2375,11,5,1,3
1704,96.0,2475,11,5,1,3
1706,96.0,2450,11,5,1,3
1707,96.0,2375,11,5,1,3
1712,96.0,2475,11,5,1,3
1715,96.0,2450,11,5,1,3
1716,96.0,2135,11,5,1,3
1718,96.0,2025,11,5,1,3
1722,109.0,2375,11,5,0,3
1724,109.0,2475,11,5,0,3
1725,109.0,2135,11,5,0,3
1727,109.0,2375,11,5,1,3
1729,109.0,2475,11,5,1,3
1730,109.0,2375,11,5,1,3
1734,109.0,2475,11,5,1,3
1736,109.0,2450,11,5,1,3
1737,109.0,2135,11,5,1,3
1741,109.0,2135,11,5,1,3
1747,130.0,2425,11,5,0,3
1749,130.0,2525,11,5,0,3
1750,130.0,2425,11,5,1,3
1752,130.0,2525,11,5,1,3
1754,85.0,2360,11,5,1,3
1756,85.0,2460,11,5,1,3
1757,85.0,2120,11,5,1,3
1759,96.0,2540,11,5,0,3
1760,96.0,2540,11,5,1,3
1762,96.0,2540,11,5,1,3
1765,109.0,2540,11,5,0,3
1766,109.0,2540,11,5,1,3
1767,109.0,2540,11,5,1,3
1769,85.0,2525,11,5,1,3
1786,55.0,1275,11,3,1,1
1788,55.0,1260,11,3,1,1
1789,55.0,1275,11,3,1,1
1790,70.0,1275,11,3,1,1
1792,103.0,1891,11,9,1,4
1793,125.0,1891,11,9,1,4
1794,103.0,1940,11,9,1,4
1795,125.0,1940,11,9,1,4
1796,125.0,2089,11,9,0,4
1802,55.0,1150,11,0,1,1
1908,55.0,1110,11,0,1,1
1910,55.0,1110,11,0,1,1
1912,55.0,1190,11,0,1,1
1932,55.0,1165,11,0,1,1
1934,70.0,1205,11,0,1,1
1936,62.0,1205,11,0,1,1
1958,55.0,1180,11,0,1,1
1960,70.0,1220,11,0,1,1
1962,62.0,1220,11,0,1,1
1966,120.0,1984,11,5,1,3
1968,120.0,2017,11,5,1,3
1970,120.0,2032,11,5,1,3
1972,94.0,1976,11,5,1,3
1974,94.0,1986,11,5,1,3
1976,94.0,2001,11,5,1,3
1986,99.2,1360,11,9,1,1
1988,99.2,1360,11,9,1,1
1991,99.2,1425,11,9,1,1
1992,99.2,1425,11,9,1,1
1997,70.0,1310,12,6,1,1
1998,55.0,1307,12,6,1,1
2003,85.0,1390,12,7,1,3
2004,85.0,1390,12,7,1,3
2005,70.0,1390,12,7,1,3
2006,70.0,1390,12,7,1,3
2007,120.0,1488,12,7,1,3
2008,120.0,1550,12,7,0,3
2009,85.0,1550,12,7,0,3
2010,103.0,1488,12,7,1,3
2011,103.0,1550,12,7,0,3
2026,70.0,1108,12,0,1,1
2027,70.0,1117,12,0,1,1
2028,70.0,1108,12,0,1,1
2030,70.0,1117,12,0,1,1
2031,55.0,1108,12,0,1,1
2032,55.0,1118,12,0,1,1
2045,77.0,1350,12,0,1,3
2046,77.0,1374,12,1,1,3
2047,77.0,1357,12,0,1,3
2048,77.0,1350,12,0,1,3
2049,77.0,1374,12,1,1,3
2050,77.0,1357,12,0,1,3
2056,85.0,1344,12,0,1,3
2057,85.0,1367,12,1,1,3
2058,85.0,1350,12,0,1,3
2059,70.0,1338,12,0,1,3
2060,70.0,1362,12,1,1,3
2061,70.0,1345,12,0,1,3
2062,120.0,1421,12,0,1,3
2063,120.0,1461,12,0,0,3
2064,120.0,1446,12,1,1,3
2065,120.0,1485,12,1,0,3
2066,120.0,1429,12,0,1,3
2067,120.0,1468,12,0,0,3
2068,85.0,1461,12,0,0,3
2069,85.0,1485,12,1,0,3
2070,85.0,1468,12,0,0,3
2071,103.0,1421,12,0,1,3
2072,103.0,1461,12,0,0,3
2073,103.0,1446,12,1,1,3
2074,103.0,1485,12,1,0,3
2075,103.0,1429,12,0,1,3
2076,103.0,1468,12,0,0,3
2081,147.0,1841,12,7,0,5
2082,147.0,1840,12,7,1,5
2083,85.0,1734,12,7,1,5
2085,120.0,1733,12,7,1,5
2086,120.0,1731,12,7,0,5
2087,103.0,1733,12,7,1,5
2088,103.0,1731,12,7,0,5
2097,85.0,1504,12,7,1,3
2099,85.0,1504,12,7,1,3
2101,70.0,1504,12,7,1,3
2103,70.0,1504,12,7,1,3
2105,120.0,1575,12,7,1,3
2106,120.0,1634,12,7,0,3
2109,85.0,1634,12,7,0,3
2111,103.0,1575,12,7,1,3
2112,103.0,1634,12,7,0,3
2116,55.0,1055,12,0,1,1
2119,120.0,1692,12,9,1,3
2120,120.0,1707,12,9,0,3
2121,103.0,1605,12,9,1,3
2122,103.0,1692,12,9,1,3
2123,103.0,1707,12,9,0,3
2127,147.0,1605,12,0,0,4
