,CO2
2226,194.0
2227,197.0
2228,199.0
2229,203.0
2230,199.0
2231,203.0
2232,184.0
2233,189.0
2234,192.0
2235,189.0
2236,194.0
2237,197.0
2238,184.0
2239,189.0
2240,192.0
2241,194.0
2242,197.0
2244,194.0
2245,197.0
2247,199.0
2248,203.0
2250,194.0
2251,197.0
2252,199.0
2253,203.0
2254,184.0
2255,189.0
2256,192.0
2257,184.0
2258,189.0
2259,192.0
2261,194.0
2262,197.0
2264,194.0
2265,197.0
2266,189.0
2267,194.0
2268,197.0
2269,194.0
2270,197.0
2272,199.0
2273,203.0
2274,194.0
2275,197.0
2276,194.0
2277,197.0
2278,199.0
2279,203.0
2280,199.0
2281,203.0
2282,194.0
2283,197.0
2284,194.0
2285,197.0
2286,199.0
2287,203.0
2288,199.0
2289,203.0
2290,195.0
2291,138.0
2292,162.0
2293,147.0
2295,141.0
2296,159.0
2298,199.0
2299,143.0
2300,167.0
2301,149.0
2302,150.0
2304,164.0
2306,128.0
2307,129.0
2308,131.0
2309,136.0
2310,145.0
2311,148.0
2312,150.0
2313,110.0
2314,115.0
2315,193.0
2316,168.0
2317,175.0
2318,179.0
2319,171.0
2320,195.0
2321,149.0
2322,154.0
2323,174.0
2324,180.0
2330,129.0
2331,126.0
2332,123.0
2341,235.0
2342,110.0
2343,129.0
2344,108.0
2345,140.0
2346,99.0
2347,84.0
2348,106.0
2349,114.0
2350,114.0
2351,114.0
2352,139.0
2353,105.0
2354,145.0
2356,97.0
2357,100.0
2359,143.0
2360,149.0
2361,117.0
2362,113.0
2363,117.0
2364,149.0
2365,134.0
2366,122.0
2367,113.0
2368,149.0
2369,149.0
2370,134.0
2371,122.0
2372,113.0
2373,149.0
2374,119.0
2375,114.0
2376,125.0
2377,117.0
2378,140.0
2379,154.0
2380,187.0
2381,149.0
2382,139.0
2383,149.0
2384,135.0
2385,147.0
2386,178.0
2387,149.0
2388,159.0
2389,175.0
2390,142.0
2391,142.0
2392,157.0
2393,224.0
2394,265.0
2395,265.0
2396,263.0
2397,282.0
2398,307.0
2399,225.0
2402,225.0
2403,246.0
2404,248.0
2405,246.0
2406,248.0
2407,255.0
2408,246.0
2409,248.0
2410,246.0
2411,248.0
2412,264.0
2413,275.0
2414,235.0
2415,235.0
2416,199.0
2417,199.0
2419,234.0
2420,209.0
2421,213.0
2422,259.0
2423,270.0
2425,283.0
2426,270.0
2427,159.0
2428,159.0
2429,135.0
2430,135.0
2431,139.0
2432,139.0
2433,207.0
2434,224.0
2435,229.0
2436,135.0
2437,135.0
2438,139.0
2439,139.0
2440,163.0
2441,163.0
2442,270.0
2443,270.0
2447,167.0
2448,159.0
2450,224.0
2451,224.0
2452,234.0
2453,234.0
2454,292.0
2456,292.0
2457,292.0
2459,292.0
2460,264.0
2461,264.0
2462,328.0
2464,224.0
2467,230.0
2470,165.0
2471,185.0
2472,158.0
2473,185.0
2474,224.0
2475,322.0
2477,322.0
2483,196.0
2484,196.0
2487,229.0
2488,229.0
2491,149.0
2493,169.0
2495,129.0
2497,149.0
2499,169.0
2501,199.0
2503,149.0
2504,174.0
2505,133.0
2506,149.0
2507,174.0
2508,199.0
2509,298.0
2510,298.0
2511,249.0
